
 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
2048,8,0.004407,0.004407,16.241841,203.02,7.6142 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
4096,8,0.029088,0.029088,16.409296,205.12,4.6142 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
16,16,0.000000,0.000000,5.200000,32.50,17.1799 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
32,16,0.000000,0.000000,7.538462,47.12,26.4306 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
64,16,0.000001,0.000001,9.395349,58.72,31.9625 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
128,16,0.000004,0.000004,10.760736,67.25,33.7274 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
256,16,0.000017,0.000017,21.160563,132.25,30.9722 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
512,16,0.000064,0.000064,45.355787,283.47,32.7357 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
1024,16,0.000259,0.000259,68.997330,431.23,32.3892 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
2048,16,0.001202,0.001202,61.808133,386.30,27.9158 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
4096,16,0.009144,0.009144,57.718309,360.74,14.6785 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
32,32,0.000000,0.000000,9.800000,30.63,34.3597 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
64,32,0.000001,0.000001,19.181818,59.94,62.4723 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
128,32,0.000002,0.000002,21.361446,66.75,66.2356 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
256,32,0.000009,0.000009,41.739130,130.43,59.7561 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
512,32,0.000033,0.000033,87.918860,274.75,64.2989 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
1024,32,0.000132,0.000132,132.784278,414.95,63.7283 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
2048,32,0.000523,0.000523,157.455408,492.05,64.2021 

 N,Processors,avg_computation_time,weak_scaling_MPI,speedup_MPI,efficiency_MPI,t_bandwidth 
4096,32,0.003692,0.003692,135.713890,424.11,36.3505 
