
 OPENMP 16 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
2, 0.009293, 0.9026, 1.890316, 94.52
4, 0.008587, 0.9769, 2.045733, 51.14
8, 0.003050, 2.7501, 5.759200, 71.99
16, 0.001890, 4.4385, 9.295219, 58.10
32, 0.001092, 7.6825, 16.088737, 50.28
64, 0.001173, 7.1504, 14.974434, 23.40

 OPENMP 2048 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
1, 0.014065, 2.3857, 0.913057, 91.31
2, 0.013209, 2.5402, 0.972195, 48.61
4, 0.012379, 2.7106, 1.037426, 25.94
8, 0.010136, 3.3104, 1.266998, 15.84
16, 0.008549, 3.9250, 1.502193, 9.39
32, 0.007815, 4.2935, 1.643247, 5.14
64, 0.008939, 3.7536, 1.436588, 2.24
threads, Tran_OpenMP, bandwidth, Speedup, Efficiency
1, 0.070773, 0.4741, 0.971771, 97.18
2, 0.035283, 0.9510, 1.949235, 97.46
4, 0.018633, 1.8008, 3.691131, 92.28
8, 0.010541, 3.1832, 6.524473, 81.56
16, 0.005291, 6.3424, 12.999784, 81.25
32, 0.003038, 11.0465, 22.641592, 70.75
64, 0.001781, 18.8373, 38.610290, 60.33

 OPENMP 4096 
threads, Sym_OpenMP, bandwidth, Speedup, Efficiency
1, 0.144415, 0.9294, 0.951203, 95.12
2, 0.137251, 0.9779, 1.000851, 50.04
4, 0.071478, 1.8777, 1.921808, 48.05
8, 0.061378, 2.1867, 2.238047, 27.98
16, 0.043690, 3.0721, 3.144179, 19.65
32, 0.036131, 3.7147, 3.801902, 11.88
64, 0.034089, 3.9373, 4.029681, 6.30
threads, Tran_OpenMP, bandwidth, Speedup, Efficiency
1, 0.420532, 0.3192, 1.069323, 106.93
2, 0.262035, 0.5122, 1.716126, 85.81
4, 0.120834, 1.1108, 3.721495, 93.04
8, 0.092083, 1.4576, 4.883479, 61.04
16, 0.035751, 3.7542, 12.578177, 78.61
32, 0.020825, 6.4450, 21.593431, 67.48
64, 0.010151, 13.2223, 44.300010, 69.22
